,Unnamed: 0,street,suburb,government_area,market,country,country_code,_id,longitude,latitude
15,15,"Vila do Conde, Porto, Portugal",,Vila do Conde,Porto,Portugal,PT,10117617,-8.75383,41.3596
16,16,"New York, NY, United States",Upper East Side,Upper East Side,New York,United States,US,10133350,-73.95854,40.7664
17,17,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,Rio De Janeiro,Brazil,BR,10051164,-43.18015675229857,-22.92638234778768
18,18,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,China,HK,10082307,114.17158,22.30469
19,19,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,10069642,-43.4311123147628,-23.00035792660916
20,20,"Darlinghurst, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,10108388,151.21346,-33.87603
21,21,"Barcelona, Catalunya, Spain",Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,10082422,2.16942,41.40082
22,22,"New York, NY, United States",Manhattan,Lower East Side,New York,United States,US,10120414,-73.98944,40.72063
23,23,"Queens, NY, United States",Queens,Jackson Heights,New York,United States,US,10138784,-73.88025,40.74953
24,24,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,10030955,-43.20504708263344,-22.971950988341877
25,25,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,10006546,-8.61308,41.1413
26,26,"Kadıköy, İstanbul, Turkey",Moda,Kadikoy,Istanbul,Turkey,TR,10047964,29.03133,40.98585
27,27,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,1001265,-157.83919,21.28634
28,28,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,10116256,28.98818,41.04772
29,29,"Rozelle, NSW, Australia",Lilyfield/Rozelle,Leichhardt,Sydney,Australia,AU,10109896,151.17956,-33.86296
30,30,"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,10057447,-73.59111,45.51889
31,31,"Brooklyn, NY, United States",Greenpoint,Greenpoint,New York,United States,US,10057826,-73.94472,40.72778
32,32,"Beyoğlu, İstanbul, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,10092679,28.95825,41.03777
33,33,"Rio de Janeiro, Rio de Janeiro, Brazil",Tijuca,Tijuca,Rio De Janeiro,Brazil,BR,10228731,-43.247421907135774,-22.936203246553816
34,34,"Montreal, QC, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,1019168,-73.58774,45.52028
35,35,"Hong Kong, New Territories, Hong Kong",,Islands,Hong Kong,China,HK,10240767,113.92823,22.27671
36,36,"Kailua-Kona, HI, United States",Kailua/Kona,North Kona,The Big Island,United States,US,1022200,-155.96445,19.5702
37,37,"Lahaina, HI, United States",Maui,Lahaina,Maui,United States,US,10227000,-156.68012,20.96996
38,38,"Istanbul, İstanbul, Turkey",,Sariyer,Istanbul,Turkey,TR,10186755,29.03693,41.12452
39,39,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,China,HK,10141950,114.15007,22.28422
40,40,"Rio de Janeiro, Rio de Janeiro, Brazil",Vila Isabel,Vila Isabel,Rio De Janeiro,Brazil,BR,10184012,-43.24277868091869,-22.91500935448249
41,41,"Hong Kong, Kowloon, Hong Kong",Mong Kok,Yau Tsim Mong,Hong Kong,China,HK,10233856,114.17073,22.31723
42,42,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,China,HK,10215858,114.17034,22.31655
43,43,"Zeytinburnu, İstanbul, Turkey",,Zeytinburnu,Istanbul,Turkey,TR,10199760,28.89964,40.99667
44,44,"Rio de Janeiro, Rio de Janeiro, Brazil",,Ipanema,Rio De Janeiro,Brazil,BR,10201975,-43.1998455458952,-22.980051683700506
45,45,"Narrabeen, NSW, Australia",,Warringah,Sydney,Australia,AU,10213499,151.29792,-33.71472
46,46,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,10264100,-43.17714541632985,-22.96270793328072
47,47,"Fairlight, NSW, Australia",Fairlight,Manly,Sydney,Australia,AU,10209136,151.26969,-33.79629
48,48,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,10220130,-43.45296045334386,-23.008710784460312
49,49,"Brooklyn, NY, United States",Williamsburg,Williamsburg,New York,United States,US,10166986,-73.93869,40.71552
50,50,"New York, NY, United States",Manhattan,East Harlem,New York,United States,US,10166883,-73.93943,40.79805
51,51,"Coogee, NSW, Australia",Coogee,Randwick,Sydney,Australia,AU,1016739,151.25541,-33.92398
52,52,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,10295352,-43.20465630892734,-22.983108745795256
53,53,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,10267144,-43.20056249420509,-22.98034625363379
54,54,"Waianae, HI, United States",Leeward Side,Waianae,Oahu,United States,US,10266175,-158.20291,21.4818
55,55,"Rio de Janeiro, Rio de Janeiro, Brazil",Flamengo,Flamengo,Rio De Janeiro,Brazil,BR,10299095,-43.17645081249057,-22.93848268819496
56,56,"Brooklyn, NY, United States",Williamsburg,Williamsburg,New York,United States,US,103161,-73.96053,40.71577
57,57,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,10269320,-8.61205,41.14404
58,58,"New York, NY, United States",Upper West Side,Upper West Side,New York,United States,US,102995,-73.9696,40.78558
59,59,"Volcano, HI, United States",Island of Hawaiʻi,Puna,The Big Island,United States,US,10280433,-155.21763,19.42151
60,60,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,10306879,-43.36831676949888,-23.011117008024065
61,61,"Bondi Beach, NSW, Australia",Bondi Beach,Waverley,Sydney,Australia,AU,10423504,151.27448,-33.8872
62,62,"Istanbul, İstanbul, Turkey",Beşiktaş,Sariyer,Istanbul,Turkey,TR,10359729,29.05108,41.08835
63,63,"Laie, HI, United States",Ko'olauloa,Koolauloa,Oahu,United States,US,10317142,-157.91952,21.63549
64,64,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,10578580,-157.78578,21.29561
65,65,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,10664888,-8.61279,41.14106
66,66,"Brooklyn, NY, United States",Fort Greene,Fort Greene,New York,United States,US,10542174,-73.98102,40.69406
67,67,"Rio de Janeiro, RJ, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,10570041,-43.22076222600562,-22.96448811710617
68,68,"Istanbul, Istanbul Province, Turkey",Cihangir,Beyoglu,Istanbul,Turkey,TR,1038163,28.98538,41.03326
69,69,"Matosinhos, Porto, Portugal",,Matosinhos e Leça da Palmeira,Porto,Portugal,PT,10448594,-8.68887,41.17544
70,70,"Porto, Porto, Portugal",,Bonfim,Porto,Portugal,PT,10487917,-8.59275,41.1462
71,71,"Beşiktaş, İstanbul, Turkey",Beşiktaş,Besiktas,Istanbul,Turkey,TR,10488837,29.02519,41.05197
72,72,"Princeville, HI, United States",Kauaʻi,North Shore Kauai,Kauai,United States,US,1069531,-159.48653,22.22739
73,73,"Barcelona, Catalunya, Spain",Eixample,el Fort Pienc,Barcelona,Spain,ES,10545725,2.17963,41.40087
74,74,"Bronx, NY, United States",Tremont,Fordham,New York,United States,US,10332161,-73.90052,40.85598
75,75,"New York, NY, United States",Manhattan,Harlem,New York,United States,US,10612199,-73.95211,40.80708
76,76,"Rio de Janeiro, Rio de Janeiro, Brazil",Botafogo,Botafogo,Rio De Janeiro,Brazil,BR,10471178,-43.17933175178738,-22.941321220162784
77,77,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,10519173,-43.32231287289854,-23.009702689174244
78,78,"Barcelona, Catalunya, Spain",Sant Martí,el Clot,Barcelona,Spain,ES,10677883,2.19057,41.41254
79,79,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,Rio De Janeiro,Brazil,BR,10373872,-43.17888629206925,-22.93171589917869
80,80,"Kailua-Kona, HI, United States",Island of Hawaiʻi,North Kona,The Big Island,United States,US,10548991,-155.97349,19.61318
81,81,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,10596036,-43.17974071338275,-22.9313871086666
82,82,"Keaau, HI, United States",Island of Hawaiʻi,Puna,The Big Island,United States,US,1067052,-155.02503,19.56081
83,83,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,10431455,-43.1779488969792,-22.963149303022146
84,84,"Greenwich, NSW, Australia",Greenwich,Lane Cove,Sydney,Australia,AU,10459480,151.18563,-33.8289
85,85,"Beyoğlu, İstanbul, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,10486984,28.97477,41.03735
86,86,"Rio de Janeiro, Rio de Janeiro, Brazil",Leblon,Leblon,Rio De Janeiro,Brazil,BR,10648267,-43.22120070184858,-22.98416287210616
87,87,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,10675315,-73.60137,45.52517
88,88,"Şişli, İstanbul, Turkey",Kadıköy,Kadikoy,Istanbul,Turkey,TR,10354347,29.06064,40.98837
89,89,"Rio de Janeiro, Rio de Janeiro, Brazil",,Tanque,Rio De Janeiro,Brazil,BR,10383490,-43.37035220190699,-22.91636184358952
90,90,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,10628126,-8.61602,41.14295
91,91,"Kadıköy, İstanbul, Turkey",Kadıköy,Kadikoy,Istanbul,Turkey,TR,10639317,29.02588,40.98825
92,92,"Rushcutters Bay, NSW, Australia",Elizabeth Bay/Rushcutters Bay,Sydney,Sydney,Australia,AU,10552362,151.22559,-33.87604
93,93,"Porto, Porto District, Portugal",,Bonfim,Porto,Portugal,PT,1036027,-8.60069,41.16246
94,94,"Hong Kong, Kowloon, Hong Kong",Tsim Sha Tsui,Yau Tsim Mong,Hong Kong,China,HK,10343118,114.17088,22.29663
95,95,"Rio de Janeiro, Rio de Janeiro, Brazil",,Anil,Rio De Janeiro,Brazil,BR,10324377,-43.33496705036137,-22.94836549045056
96,96,"Kihei, HI, United States",Maui,Kihei-Makena,Maui,United States,US,1042446,-156.46881,20.78621
97,97,"Shatin , Hong Kong, Hong Kong",,Tsuen Wan,Hong Kong,China,HK,10624493,114.12074,22.40547
98,98,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,10415637,-43.35397067257831,-23.008991691724663
99,99,"Sham Shui Po, Kowloon, Hong Kong",Sham Shui Po,Sham Shui Po,Hong Kong,China,HK,10527212,114.16262,22.32733
100,100,"Brooklyn, NY, United States",Brooklyn,South Slope,New York,United States,US,10573225,-73.98307,40.6651
101,101,"Brooklyn, NY, United States",Brooklyn,Crown Heights,New York,United States,US,1068505,-73.95667,40.67414
102,102,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,10381879,-43.3089745798612,-23.004633399469007
103,103,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,1063491,-43.17596611897592,-22.964922391816017
104,104,"Mongkok, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,China,HK,10458796,114.17094,22.32074
105,105,"Rio de Janeiro, State of Rio de Janeiro, Brazil",São Conrado,São Conrado,Rio De Janeiro,Brazil,BR,10449328,-43.27502007153333,-22.99391888061395
106,106,"Balgowlah, NSW, Australia",Balgowlah,Manly,Sydney,Australia,AU,10416859,151.26108,-33.7975
107,107,"Waialua, HI, United States",Oʻahu,North Shore Oahu,Oahu,United States,US,10392282,-158.1602,21.57561
108,108,"Barcelona, Catalunya, Spain",el Fort Pienc,el Fort Pienc,Barcelona,Spain,ES,10581101,2.18146,41.39716
109,109,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,10635276,-43.32984175609327,-23.011124595436097
110,110,"Sheung Wan, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,China,HK,10659534,114.15241,22.28351
111,111,"Rio de Janeiro, Rio de Janeiro, Brazil",Santa Teresa,Santa Teresa,Rio De Janeiro,Brazil,BR,1066648,-43.17823402580154,-22.917475613135107
112,112,"Marrickville, NSW, Australia",Marrickville,Marrickville,Sydney,Australia,AU,1047087,151.15036,-33.90318
113,113,"Hilo, HI, United States",Island of Hawaiʻi,South Hilo,The Big Island,United States,US,10527243,-155.09259,19.73108
114,114,"Brooklyn, NY, United States",Williamsburg,Williamsburg,New York,United States,US,10545815,-73.93981,40.70687
115,115,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,10560325,-8.6114,41.16093
116,116,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,10411341,-43.20577175003696,-22.98255730525777
117,117,"Barcelona, Catalunya, Spain",Can Baro,Can Baró,Barcelona,Spain,ES,10558807,2.15836,41.41582
118,118,"Taksim, Cihangir, Istanbul , Beyoğlu, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,1058555,28.98648,41.03376
119,119,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,10671783,-43.43656065280531,-23.01216083013239
120,120,"Istanbul, Istanbul Province, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,1074008,28.97994,41.03406
121,121,"Barcelona, Catalunya, Spain",El Gòtic,el Barri Gòtic,Barcelona,Spain,ES,10802909,2.17778,41.38049
122,122,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,10742116,28.99363,41.05261
123,123,"Petersham, NSW, Australia",Petersham,Marrickville,Sydney,Australia,AU,1073607,151.15851,-33.89931
124,124,"Barcelona, Catalonia, Spain",Eixample,la Nova Esquerra de l'Eixample,Barcelona,Spain,ES,1079887,2.14596,41.38475
125,125,"Porto, Porto, Portugal",,Bonfim,Porto,Portugal,PT,10751153,-8.60106,41.14684
126,126,"New York, NY, United States",Lower East Side,Lower East Side,New York,United States,US,10752737,-73.98319,40.71823
127,127,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,10706900,-43.343027190397,-23.00878356989572
128,128,"Barcelona, Catalonia, Spain",Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,1070322,2.15533,41.40686
129,129,"Istanbul, Istanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,1077686,28.94457,41.03301
130,130,"Beyoğlu, İstanbul, Turkey",Taksim,Beyoglu,Istanbul,Turkey,TR,10782351,28.98789,41.03445
131,131,"Barcelona, Catalunya, Spain",Eixample,la Sagrada Família,Barcelona,Spain,ES,10716793,2.17519,41.41035
132,132,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,10908640,-43.19841687233581,-22.98376501071312
133,133,"New York, NY, United States",Midtown,Hell's Kitchen,New York,United States,US,10887852,-73.99482,40.76438
134,134,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,10828339,-43.189916447135005,-22.976504206582877
135,135,"Hong Kong, Hong Kong Island, Hong Kong",Sheung Wan,Central & Western,Hong Kong,China,HK,10840938,114.15202,22.28582
136,136,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,China,HK,10839973,114.16558,22.308
137,137,"Hong Kong, Hong Kong Island, Hong Kong",Mid-Levels,Central & Western,Hong Kong,China,HK,10816768,114.15315,22.28028
138,138,"Brooklyn, NY, United States",Brooklyn,Williamsburg,New York,United States,US,10812136,-73.94384,40.70528
139,139,"Sheung Wan, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,China,HK,10893326,114.14881,22.28354
140,140,"Brooklyn, NY, United States",Fort Greene,Fort Greene,New York,United States,US,10857454,-73.97527,40.6884
141,141,"Rio de Janeiro, Rio de Janeiro, Brazil",Bonsucesso,Bonsucesso,Rio De Janeiro,Brazil,BR,10855800,-43.24972983198035,-22.862647394041375
142,142,"Rio de Janeiro, RJ, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,10852990,-43.1838890521465,-22.938257466286093
143,143,"Üsküdar, İstanbul, Turkey",Üsküdar,Uskudar,Istanbul,Turkey,TR,10819035,29.08565,41.01499
144,144,"Rio de Janeiro, Rio de Janeiro, Brazil",São Cristóvão,São Cristóvão,Rio De Janeiro,Brazil,BR,10862541,-43.21872245840377,-22.89142169593252
145,145,"Newport, NSW, Australia",,Pittwater,Sydney,Australia,AU,1090153,151.31572,-33.65212
146,146,"Brooklyn, NY, United States",Flatbush,East Flatbush,New York,United States,US,1089542,-73.94883,40.6536
147,147,"Quarry Bay, Hong Kong Island, Hong Kong",Quarry Bay,Eastern,Hong Kong,China,HK,10839801,114.20854,22.29099
148,148,"New York, NY, United States",Morningside Heights,Morningside Heights,New York,United States,US,10850008,-73.9648,40.80732
149,149,"铜锣湾, 香港岛, Hong Kong",Eastern District,Wan Chai,Hong Kong,China,HK,10911771,114.18651,22.28186
150,150,"Brooklyn, NY, United States",Brooklyn,Bedford-Stuyvesant,New York,United States,US,1092760,-73.95321,40.69034
151,151,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,10948197,-157.83937,21.2837
152,152,"Kailua, HI, United States",Kailua,Koolaupoko,Oahu,United States,US,10932304,-157.74147,21.37812
153,153,"九龍, 九龍, Hong Kong",Jordan,Yau Tsim Mong,Hong Kong,China,HK,10977704,114.17127,22.30549
154,154,"Captain Cook, HI, United States",Island of Hawaiʻi,South Kona,The Big Island,United States,US,1095174,-155.89926,19.20636
155,155,"Volcano, HI, United States",Island of Hawaiʻi,Puna,The Big Island,United States,US,10992286,-155.2403,19.43344
156,156,"Honolulu, HI, United States",Waikiki,Primary Urban Center,Oahu,United States,US,1104768,-157.82696,21.27971
157,157,"Barcelona, Catalunya, Spain",El Gòtic,el Barri Gòtic,Barcelona,Spain,ES,11007058,2.17774,41.37783
158,158,"Jamaica , NY, United States",Jamaica,Jamaica,New York,United States,US,10990260,-73.77835,40.68135
159,159,"Brooklyn, NY, United States",Brooklyn,Boerum Hill,New York,United States,US,1101035,-73.98517,40.68779
160,160,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,China,HK,11055163,114.17237,22.30612
161,161,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,China,HK,11095139,114.17242,22.30515
162,162,"New York, NY, United States",Manhattan,East Harlem,New York,United States,US,11097962,-73.93955,40.79733
163,163,"Darlinghurst, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,1098211,151.22133,-33.87521
164,164,"香港, 九龍, Hong Kong",Tsim Sha Tsui,Yau Tsim Mong,Hong Kong,China,HK,11093339,114.17545,22.29643
165,165,"Kadıköy, İstanbul, Turkey",Kadıköy,Kadikoy,Istanbul,Turkey,TR,11007542,29.03075,40.99459
166,166,"büyükada, İstanbul, Turkey",,Adalar,Istanbul,Turkey,TR,10985735,29.11608,40.862
167,167,"Barcelona, Catalunya, Spain",Ciutat Vella,el Barri Gòtic,Barcelona,Spain,ES,11006512,2.17831,41.37724
168,168,"Barcelona, Catalunya, Spain",Vila de Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,11012484,2.15759,41.40349
169,169,"Brooklyn, NY, United States",Brooklyn,Bay Ridge,New York,United States,US,10992671,-74.02972,40.63199
170,170,"New York, NY, United States",East Village,East Village,New York,United States,US,11005300,-73.98763,40.72808
171,171,"Montréal, Québec, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,11080033,-73.58595,45.49039
172,172,"Rio de Janeiro, Rio de Janeiro, Brazil",Santa Teresa,Santa Teresa,Rio De Janeiro,Brazil,BR,11131495,-43.1899284846398,-22.920478977773985
173,173,"Barcelona, Catalunya, Spain",Sants-Montjuïc,el Poble Sec,Barcelona,Spain,ES,11108923,2.16622,41.3719
174,174,"New York, NY, United States",Manhattan,Two Bridges,New York,United States,US,11157167,-73.99442,40.7113
175,175,"Barcelona, Catalunya, Spain",Sants-Montjuïc,el Poble Sec,Barcelona,Spain,ES,1112838,2.15566,41.37479
176,176,"Barcelona, Catalunya, Spain",L'Antiga Esquerra de l'Eixample,l'Antiga Esquerra de l'Eixample,Barcelona,Spain,ES,11153910,2.15255,41.39193
177,177,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,11197217,-43.192297491066334,-22.98581619981152
178,178,"Kihei, HI, United States",Maui,Kihei-Makena,Maui,United States,US,11319047,-156.46697,20.78484
179,179,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,11378656,28.98641,41.06018
180,180,"Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,11480835,-73.92081,40.70017
181,181,"Queens, NY, United States",Astoria,Astoria,New York,United States,US,11567815,-73.92117,40.76964
182,182,"Montréal, Québec, Canada",Villeray-Saint-Michel-Parc-Extension,Villeray-Saint-Michel-Parc-Extension,Montreal,Canada,CA,11648810,-73.60386,45.55264
183,183,"Wailuku, HI, United States",Maui,Kihei-Makena,Maui,United States,US,11207193,-156.5039,20.79664
184,184,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,China,HK,11264406,114.16984,22.31915
185,185,"New York, NY, United States",Manhattan,Nolita,New York,United States,US,1136399,-73.99529,40.72404
186,186,"Captain Cook, HI, United States",Island of Hawaiʻi,South Kona,The Big Island,United States,US,11379251,-155.87508,19.26787
187,187,"Bundeena, NSW, Australia",Cronulla,Sutherland Shire,Sydney,Australia,AU,1138483,151.15761,-34.08087
188,188,"Porto, Porto, Portugal",,"Aldoar, Foz do Douro e Nevogilde",Porto,Portugal,PT,11510109,-8.67643,41.15171
189,189,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Jacarepaguá,Rio De Janeiro,Brazil,BR,11695637,-43.39842206377968,-22.970523926945454
190,190,"New York, NY, United States",Manhattan,East Harlem,New York,United States,US,11335874,-73.94429,40.78626
191,191,"Rio de Janeiro, Rio de Janeiro, Brazil",Leblon,Leblon,Rio De Janeiro,Brazil,BR,11406680,-43.21889444085009,-22.980690335847203
192,192,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,11459525,-43.20246232850196,-22.98570388501864
193,193,"New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,1146653,-73.96482,40.79208
194,194,"İstanbul, İstanbul, Turkey",Kadıköy,Kadikoy,Istanbul,Turkey,TR,11488558,29.04503,40.98909
195,195,"Tai Hang (Causeway Bay), Hong Kong Island, Hong Kong",Causeway Bay,Wan Chai,Hong Kong,China,HK,11533406,114.19243,22.27928
196,196,"Barcelona, Catalonia, Spain",Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,1153834,2.15884,41.40462
197,197,"Sai Kung District, New Territories, Hong Kong",,Sai Kung,Hong Kong,China,HK,11145180,114.25746,22.31752
198,198,"Hong Kong, Hong Kong, Hong Kong",Wan Chai District,Wan Chai,Hong Kong,China,HK,11194486,114.18233,22.27681
199,199,"Sydney , NSW, Australia",Lilyfield/Rozelle,Leichhardt,Sydney,Australia,AU,1145567,151.16994,-33.86771
200,200,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,11146498,28.98352,41.04902
201,201,"New York, NY, United States",Manhattan,Midtown,New York,United States,US,11223389,-73.96776,40.75482
202,202,"North Sydney, NSW, Australia",Neutral Bay,North Sydney,Sydney,Australia,AU,1143151,151.21478,-33.84297
203,203,"Porto, Porto District, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,1144090,-8.61504,41.14736
204,204,"Barcelona, Catalonia, Spain",Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Barcelona,Spain,ES,11115528,2.17561,41.38701
205,205,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,11447743,-8.61655,41.14507
206,206,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,11472884,-43.42564904825581,-23.00273936515431
207,207,"Fatih, İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,11409841,28.97622,41.00359
